City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
183,Calabozo,8.9242,-67.4293,91.94,34,95,6.73,VE,2021-01-16 19:49:50,overcast clouds
184,Beterou,9.1992,2.2586,78.17,17,0,2.95,BJ,2021-01-16 19:49:50,clear sky
185,Altamira,-3.2033,-52.2064,91.4,58,40,6.91,BR,2021-01-16 19:49:50,scattered clouds
186,Olinda,-8.0089,-34.8553,80.6,65,40,11.5,BR,2021-01-16 19:49:50,scattered clouds
187,Manicore,-5.8092,-61.3003,84.58,77,91,1.32,BR,2021-01-16 19:49:50,light rain
188,Zabol,32.25,67.25,38.7,59,0,4.05,AF,2021-01-16 19:49:50,clear sky
189,Ambanja,-13.6833,48.45,76.86,87,38,2.91,MG,2021-01-16 19:49:50,light rain
190,Lodja,-3.4833,23.4333,71.85,79,31,0.56,CD,2021-01-16 19:49:50,scattered clouds
191,Breves,-1.6822,-50.4803,89.76,47,26,4.32,BR,2021-01-16 19:49:51,scattered clouds
192,Springbok,-29.6643,17.8865,60.94,64,0,5.77,ZA,2021-01-16 19:49:51,clear sky
193,Puerto Carreno,6.189,-67.4859,91.96,43,0,12.66,CO,2021-01-16 19:49:51,clear sky
194,Caluquembe,-13.7833,14.6833,60.76,63,97,7.45,AO,2021-01-16 19:49:51,overcast clouds
195,Arroyo,41.6096,-4.7969,28.4,100,90,3.44,ES,2021-01-16 19:49:51,light snow
196,Kasongo-Lunda,-6.4667,16.8167,71.37,89,99,1.34,CD,2021-01-16 19:47:10,light rain
197,Maiduguri,11.8464,13.1603,71.33,23,7,9.26,NG,2021-01-16 19:49:51,clear sky
198,Morondava,-20.2833,44.2833,84.18,71,35,3.62,MG,2021-01-16 19:49:51,scattered clouds
199,Mega,4.05,38.3,65.19,53,61,10.2,ET,2021-01-16 19:49:51,broken clouds
200,Buchanan,5.8808,-10.0467,78.8,94,20,7.25,LR,2021-01-16 19:49:51,few clouds
201,Papagaios,-19.4492,-44.7478,75.6,85,98,4.76,BR,2021-01-16 19:49:51,overcast clouds
202,Tucurui,-3.7661,-49.6725,83.95,76,62,4.21,BR,2021-01-16 19:49:51,light rain
203,Dogondoutchi,13.6393,4.0287,76.75,17,32,6.93,NE,2021-01-16 19:49:51,scattered clouds
204,Koutsouras,35.0339,25.9469,54.0,75,43,7.72,GR,2021-01-16 19:49:52,scattered clouds
