City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
323,Sakakah,SA,55.4,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
326,Arua,UG,71.01,overcast clouds,3.0201,30.9111,Golden Courts Hotel
328,Kitgum,UG,79.79,overcast clouds,3.2783,32.8867,Jaflo Gardens Hotel
330,Luba,GQ,78.8,few clouds,3.4568,8.5547,
332,Tenenkou,ML,75.31,overcast clouds,14.4572,-4.9169,
333,Mlandizi,TZ,74.17,clear sky,-6.7,38.7333,Amazon Lodge..
335,Voi,KE,72.95,few clouds,-3.3945,38.563,Voi Wildlife Lodge
338,Khorramshahr,IR,59.0,mist,30.4397,48.1664,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
339,Iranshahr,IR,55.4,clear sky,27.2025,60.6848,نیک سرشت
340,San Juan,AR,78.57,clear sky,-31.5375,-68.5364,Hotel Provincial
342,Swellendam,ZA,66.2,broken clouds,-34.0226,20.4417,De Kloof Luxury Estate boutique Hotel & SPA
344,Zemio,CF,74.77,scattered clouds,5.0314,25.1361,OCHA Office
345,Presidente Olegario,BR,73.0,moderate rain,-18.4178,-46.4181,Cruzeiro Hotel
348,Kitui,KE,65.08,clear sky,-1.367,38.0106,Heritage Bliss Hotel
349,Bomi,SL,77.56,overcast clouds,7.2461,-11.5258,
350,Saldanha,ZA,68.0,clear sky,-33.0117,17.9442,Blue Bay Lodge
351,Pasni,PK,67.96,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
352,Malanje,AO,64.67,overcast clouds,-9.5402,16.340999999999998,Malanje Hotel
353,Marabba,SD,74.01,clear sky,12.35,32.1833,
355,Sakaraha,MG,76.51,moderate rain,-22.9,44.5333,Le Relais
360,Mugumu,TZ,60.21,scattered clouds,-1.85,34.7,Lemala Mara
362,Agadir,MA,53.6,clear sky,30.4202,-9.5982,Iberostar Founty Beach
370,Soavinandriana,MG,64.18,overcast clouds,-19.1667,46.7333,
372,Suez,EG,57.99,clear sky,29.9737,32.5263,Green House
373,Saurimo,AO,65.44,light rain,-9.6608,20.3916,Hotel Kawissa Saurimo
374,Beroroha,MG,78.58,overcast clouds,-21.6667,45.1667,
375,Beirut,LB,60.8,light rain,33.8889,35.4944,Crowne Plaza Beirut
377,Porto Santo,PT,59.0,scattered clouds,33.071999999999996,-16.3415,Hotel Porto Santo & Spa
379,Rio Tercero,AR,71.01,scattered clouds,-32.173,-64.1141,Hospedaje Las Violetas
380,Gao,ML,75.63,clear sky,16.6362,1.6369999999999998,
381,Zambezi,ZM,66.9,overcast clouds,-13.5432,23.1047,Royal Kutachika Lodge
384,Abu Zabad,SD,68.45,clear sky,12.35,29.25,محي الدين نوري
385,Ipora,BR,72.45,overcast clouds,-16.4419,-51.1178,Oásis Motel
386,Barentu,ER,64.11,clear sky,15.1139,37.5928,
389,Mizan Teferi,ET,66.16,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
390,Ruyigi,BI,60.17,overcast clouds,-3.45,30.3167,
391,Hit,IQ,56.12,broken clouds,33.6416,42.8251,صالون زيرو
393,Watsa,CD,67.89,broken clouds,3.0372,29.5355,Hôtel Le Pacifique
394,Am Timan,TD,76.24,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
397,San Lazaro,BZ,78.8,overcast clouds,18.0387,-88.6622,
398,Florida,US,61.0,clear sky,28.7505,-82.5001,Sportsmens Cove
399,Ayorou,NE,77.92,clear sky,14.7308,0.9174,Hotel Amenokal
400,George,ZA,66.2,broken clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
403,Iaciara,BR,77.95,light rain,-14.0958,-46.6317,Hotel Matinha
404,Zlitan,LY,55.98,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
405,Kumluca,TR,56.37,broken clouds,36.3703,30.2869,TurkuazKöy
408,Bedesa,ET,61.47,clear sky,8.9,40.7833,
409,Binga,ZW,74.79,light rain,-17.6203,27.3414,Lakeview Inn Binga
410,Gwanda,ZW,70.52,light rain,-20.9333,29.0,Mafax Homeways
412,Mongu,ZM,71.87,broken clouds,-15.2484,23.1274,Country Lodge Mongu
414,Kolondieba,ML,76.12,broken clouds,11.0882,-6.8926,Hotel Dakan
416,Kaniama,CD,66.52,light rain,-7.5667,24.1833,
417,Kaputa,ZM,68.45,overcast clouds,-8.4689,29.6619,Chelelwa Charlets
418,Mercedes,AR,79.0,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
419,Madimba,TZ,79.07,clear sky,-10.4,40.3333,
424,Adre,TD,64.31,clear sky,13.4667,22.2,
425,Tahta,EG,55.4,clear sky,26.7693,31.5021,El Salam Hotel
426,Dodola,ET,54.45,few clouds,6.9833,39.1833,Asiya Hussen
427,Zinder,NE,69.82,clear sky,13.8072,8.9881,Hotel de Ville
428,Bosaso,SO,74.68,few clouds,11.2842,49.1816,Red Sea Hotel
429,Bangassou,CF,79.63,overcast clouds,4.7413,22.8184,
